district_code,site_id,sex,single_multiple_birth,birth_count,,
68000130,"Fuxing District, Taoyuan City",F,singleton,81,,
68000130,"Fuxing District, Taoyuan City",M,singleton,80,,
68000130,"Fuxing District, Taoyuan City",F,twins,5,,
68000130,"Fuxing District, Taoyuan City",M,twins,1,,
68000130,"Fuxing District, Taoyuan City",M,triplets,0,,
68000130,"Fuxing District, Taoyuan City",F,triplets,0,,
68000120,"Guanyin District, Taoyuan City",M,singleton,298,,
68000120,"Guanyin District, Taoyuan City",F,singleton,291,,
68000120,"Guanyin District, Taoyuan City",F,twins,10,,
68000120,"Guanyin District, Taoyuan City",M,twins,7,,
68000120,"Guanyin District, Taoyuan City",M,triplets,0,,
68000120,"Guanyin District, Taoyuan City",F,triplets,0,,
68000110,"Xinwu District, Taoyuan City",M,singleton,228,,
68000110,"Xinwu District, Taoyuan City",F,singleton,187,,
68000110,"Xinwu District, Taoyuan City",M,twins,4,,
68000110,"Xinwu District, Taoyuan City",F,twins,4,,
68000110,"Xinwu District, Taoyuan City",M,triplets,0,,
68000110,"Xinwu District, Taoyuan City",F,triplets,0,,
68000100,"Pingzhen District, Taoyuan City",M,singleton,1032,,
68000100,"Pingzhen District, Taoyuan City",F,singleton,974,,
68000100,"Pingzhen District, Taoyuan City",F,twins,42,,
68000100,"Pingzhen District, Taoyuan City",M,twins,28,,
68000100,"Pingzhen District, Taoyuan City",M,triplets,2,,
68000100,"Pingzhen District, Taoyuan City",F,triplets,0,,
68000090,"Longtan District, Taoyuan City",M,singleton,546,,
68000090,"Longtan District, Taoyuan City",F,singleton,508,,
68000090,"Longtan District, Taoyuan City",M,twins,18,,
68000090,"Longtan District, Taoyuan City",F,twins,18,,
68000090,"Longtan District, Taoyuan City",M,triplets,0,,
68000090,"Longtan District, Taoyuan City",F,triplets,0,,
68000080,"Bade District, Taoyuan City",M,singleton,1015,,
68000080,"Bade District, Taoyuan City",F,singleton,908,,
68000080,"Bade District, Taoyuan City",M,twins,47,,
68000080,"Bade District, Taoyuan City",F,twins,47,,
68000080,"Bade District, Taoyuan City",M,triplets,0,,
68000080,"Bade District, Taoyuan City",F,triplets,0,,
68000070,"Guishan District, Taoyuan City",M,singleton,801,,
68000070,"Guishan District, Taoyuan City",F,singleton,695,,
68000070,"Guishan District, Taoyuan City",F,twins,42,,
68000070,"Guishan District, Taoyuan City",M,twins,40,,
68000070,"Guishan District, Taoyuan City",M,triplets,0,,
68000070,"Guishan District, Taoyuan City",F,triplets,0,,
68000060,"Dayuan District, Taoyuan City",M,singleton,451,,
68000060,"Dayuan District, Taoyuan City",F,singleton,443,,
68000060,"Dayuan District, Taoyuan City",F,twins,18,,
68000060,"Dayuan District, Taoyuan City",M,twins,17,,
68000060,"Dayuan District, Taoyuan City",M,triplets,2,,
68000060,"Dayuan District, Taoyuan City",F,triplets,1,,
68000050,"Luzhu District, Taoyuan City",M,singleton,740,,
68000050,"Luzhu District, Taoyuan City",F,singleton,666,,
68000050,"Luzhu District, Taoyuan City",M,twins,34,,
68000050,"Luzhu District, Taoyuan City",F,twins,24,,
68000050,"Luzhu District, Taoyuan City",M,triplets,0,,
68000050,"Luzhu District, Taoyuan City",F,triplets,0,,
68000040,"Yangmei District, Taoyuan City",M,singleton,790,,
68000040,"Yangmei District, Taoyuan City",F,singleton,788,,
68000040,"Yangmei District, Taoyuan City",M,twins,32,,
68000040,"Yangmei District, Taoyuan City",F,twins,22,,
68000040,"Yangmei District, Taoyuan City",M,triplets,0,,
68000040,"Yangmei District, Taoyuan City",F,triplets,0,,
68000030,"Daxi District, Taoyuan City",M,singleton,394,,
68000030,"Daxi District, Taoyuan City",F,singleton,363,,
68000030,"Daxi District, Taoyuan City",M,twins,12,,
68000030,"Daxi District, Taoyuan City",F,twins,10,,
68000030,"Daxi District, Taoyuan City",M,triplets,0,,
68000030,"Daxi District, Taoyuan City",F,triplets,0,,
68000020,"Zhongli District, Taoyuan City",M,singleton,1869,,
68000020,"Zhongli District, Taoyuan City",F,singleton,1713,,
68000020,"Zhongli District, Taoyuan City",F,twins,80,,
68000020,"Zhongli District, Taoyuan City",M,twins,61,,
68000020,"Zhongli District, Taoyuan City",M,triplets,0,,
68000020,"Zhongli District, Taoyuan City",F,triplets,0,,
68000010,"Taoyuan District, Taoyuan City",M,singleton,1838,,
68000010,"Taoyuan District, Taoyuan City",F,singleton,1730,,
68000010,"Taoyuan District, Taoyuan City",F,twins,82,,
68000010,"Taoyuan District, Taoyuan City",M,twins,71,,
68000010,"Taoyuan District, Taoyuan City",M,triplets,0,,
68000010,"Taoyuan District, Taoyuan City",F,triplets,0,,
67000370,"West Central District, Tainan City",F,singleton,148,,
67000370,"West Central District, Tainan City",M,singleton,130,,
67000370,"West Central District, Tainan City",F,twins,9,,
67000370,"West Central District, Tainan City",M,twins,5,,
67000370,"West Central District, Tainan City",M,triplets,0,,
67000370,"West Central District, Tainan City",F,triplets,0,,
67000360,"Anping District, Tainan City",M,singleton,189,,
67000360,"Anping District, Tainan City",F,singleton,136,,
67000360,"Anping District, Tainan City",M,twins,8,,
67000360,"Anping District, Tainan City",F,twins,8,,
67000360,"Anping District, Tainan City",M,triplets,0,,
67000360,"Anping District, Tainan City",F,triplets,0,,
67000350,"Annan District, Tainan City",M,singleton,673,,
67000350,"Annan District, Tainan City",F,singleton,579,,
67000350,"Annan District, Tainan City",F,twins,31,,
67000350,"Annan District, Tainan City",M,twins,25,,
67000350,"Annan District, Tainan City",M,triplets,0,,
67000350,"Annan District, Tainan City",F,triplets,0,,
67000340,"North District, Tainan City",M,singleton,302,,
67000340,"North District, Tainan City",F,singleton,277,,
67000340,"North District, Tainan City",F,twins,21,,
67000340,"North District, Tainan City",M,twins,8,,
67000340,"North District, Tainan City",M,triplets,0,,
67000340,"North District, Tainan City",F,triplets,0,,
67000330,"South District, Tainan City",M,singleton,278,,
67000330,"South District, Tainan City",F,singleton,248,,
67000330,"South District, Tainan City",M,twins,13,,
67000330,"South District, Tainan City",F,twins,7,,
67000330,"South District, Tainan City",M,triplets,0,,
67000330,"South District, Tainan City",F,triplets,0,,
67000320,"East District, Tainan City",M,singleton,376,,
67000320,"East District, Tainan City",F,singleton,355,,
67000320,"East District, Tainan City",M,twins,31,,
67000320,"East District, Tainan City",F,twins,22,,
67000320,"East District, Tainan City",M,triplets,0,,
67000320,"East District, Tainan City",F,triplets,0,,
67000310,"Yongkang District, Tainan City",M,singleton,737,,
67000310,"Yongkang District, Tainan City",F,singleton,644,,
67000310,"Yongkang District, Tainan City",M,twins,31,,
67000310,"Yongkang District, Tainan City",F,twins,26,,
67000310,"Yongkang District, Tainan City",M,triplets,0,,
67000310,"Yongkang District, Tainan City",F,triplets,0,,
67000300,"Longqi District, Tainan City",M,singleton,3,,
67000300,"Longqi District, Tainan City",F,singleton,3,,
67000300,"Longqi District, Tainan City",M,triplets,0,,
67000300,"Longqi District, Tainan City",F,triplets,0,,
67000300,"Longqi District, Tainan City",M,twins,0,,
67000300,"Longqi District, Tainan City",F,twins,0,,
67000290,"Guanmiao District, Tainan City",M,singleton,104,,
67000290,"Guanmiao District, Tainan City",F,singleton,98,,
67000290,"Guanmiao District, Tainan City",M,twins,1,,
67000290,"Guanmiao District, Tainan City",F,twins,1,,
67000290,"Guanmiao District, Tainan City",M,triplets,0,,
